i,study_id,site_id,core_id,variables_present
47,Arias-Ortiz_et_al_2021,US-MyB,Typha M1,Pb210
48,Arias-Ortiz_et_al_2021,US-MyB,Typha M2,Pb210
49,Arias-Ortiz_et_al_2021,US-Tw1,Typha W1,Pb210
50,Arias-Ortiz_et_al_2021,US-Tw1,Typha W2,Pb210
51,Arias-Ortiz_et_al_2021,US-Tw1,Typha W3,Pb210
52,Arriola_and_Cable_2017,snipe_creek_hammock,snipe_creek_HE,"Cs137, Pb210"
53,Arriola_and_Cable_2017,snipe_creek_hammock,snipe_creek_HI,"Cs137, Pb210"
54,Arriola_and_Cable_2017,snipe_creek_high_marsh,snipe_creek_F,"Cs137, Pb210"
55,Arriola_and_Cable_2017,snipe_creek_high_marsh,snipe_creek_S,"Cs137, Pb210"
56,Arriola_and_Cable_2017,snipe_creek_low_marsh,snipe_creek_M,"Cs137, Pb210"
57,Arriola_and_Cable_2017,snipe_creek_low_marsh,snipe_creek_MC,Pb210
58,Baustian_et_al_2021,Barataria basin,175,"Cs137, Pb210"
59,Baustian_et_al_2021,Barataria basin,224,"Cs137, Pb210"
60,Baustian_et_al_2021,Barataria basin,225,"Cs137, Pb210"
61,Baustian_et_al_2021,Barataria basin,253,"Cs137, Pb210"
62,Baustian_et_al_2021,Barataria basin,3166,"Cs137, Pb210"
63,Baustian_et_al_2021,Barataria basin,3565,"Cs137, Pb210"
64,Baustian_et_al_2021,Barataria basin,3617,"Cs137, Pb210"
65,Baustian_et_al_2021,Barataria basin,4245,"Cs137, Pb210"
66,Baustian_et_al_2021,Terrebonne basin,305,Pb210
67,Baustian_et_al_2021,Terrebonne basin,309,"Cs137, Pb210"
68,Baustian_et_al_2021,Terrebonne basin,337,"Cs137, Pb210"
69,Baustian_et_al_2021,Terrebonne basin,377,"Cs137, Pb210"
70,Baustian_et_al_2021,Terrebonne basin,398,"Cs137, Pb210"
71,Baustian_et_al_2021,Terrebonne basin,399,"Cs137, Pb210"
72,Baustian_et_al_2021,Terrebonne basin,4045,"Cs137, Pb210"
73,Baustian_et_al_2021,Terrebonne basin,4455,"Cs137, Pb210"
74,Belshe_et_al_2019,EP,EP05,C14
75,Belshe_et_al_2019,SM,SM05,C14
76,Belshe_et_al_2019,SM,SM10,C14
77,Belshe_et_al_2019,SM,SM15,C14
78,Belshe_et_al_2019,SM,SM25,C14
79,Boyd_2012,Blackbird_Creek_Marsh,BBRC1,"Cs137, Pb210"
80,Boyd_2012,Blackbird_Creek_Marsh,BBRC2,"Cs137, Pb210"
81,Boyd_2012,Broad_Dyke_Marsh,NCBD1,"Cs137, Pb210"
82,Boyd_2012,Broad_Dyke_Marsh,NCBD2,"Cs137, Pb210"
83,Boyd_2012,Broad_Dyke_Marsh,NCBD3,"Cs137, Pb210"
84,Boyd_2012,Buttonwood_Marsh,NCBW1,"Cs137, Pb210"
85,Boyd_2012,Buttonwood_Marsh,NCBW2,"Cs137, Pb210"
86,Boyd_2012,Buttonwood_Marsh,NCBW3,"Cs137, Pb210"
87,Boyd_2012,Gambacorta_Marsh,NCGB1,"Cs137, Pb210"
88,Boyd_2012,Gambacorta_Marsh,NCGB2,"Cs137, Pb210"
89,Boyd_2012,Gambacorta_Marsh,NCGB3,"Cs137, Pb210"
90,Boyd_2012,Little_Creek_Marsh,LC1,"Cs137, Pb210"
91,Boyd_2012,Little_Creek_Marsh,LC2,"Cs137, Pb210"
92,Boyd_2012,Little_Creek_Marsh,LC3,"Cs137, Pb210"
93,Boyd_2012,Lukens_Marsh,NCLM1,"Cs137, Pb210"
94,Boyd_2012,Lukens_Marsh,NCLM2,"Cs137, Pb210"
95,Boyd_2012,Lukens_Marsh,NCLM3,"Cs137, Pb210"
96,Boyd_2012,Pickering_Beach_Marsh,PK1,"Cs137, Pb210"
97,Boyd_2012,Pickering_Beach_Marsh,PK2,"Cs137, Pb210"
98,Boyd_2012,Pickering_Beach_Marsh,PK3,"Cs137, Pb210"
99,Boyd_2012,Port_Mahon_Marsh,MH1,"Cs137, Pb210"
100,Boyd_2012,Port_Mahon_Marsh,MH2,"Cs137, Pb210"
101,Boyd_2012,Port_Mahon_Marsh,MH3,"Cs137, Pb210"
102,Boyd_2012,Rivers_Edge_Marsh,NCRE1,"Cs137, Pb210"
103,Boyd_2012,Rivers_Edge_Marsh,NCRE2,"Cs137, Pb210"
104,Boyd_2012,Rivers_Edge_Marsh,NCRE3,"Cs137, Pb210"
105,Boyd_2012,Ted_Harvey_Conservation_Area,TH1,"Cs137, Pb210"
106,Boyd_2012,Ted_Harvey_Conservation_Area,TH2,"Cs137, Pb210"
107,Boyd_2012,Ted_Harvey_Conservation_Area,TH3,"Cs137, Pb210"
108,Boyd_2012,Ted_Harvey_Conservation_Area,TH4,"Cs137, Pb210"
109,Boyd_2012,Ted_Harvey_Conservation_Area,TH5,"Cs137, Pb210"
110,Boyd_2012,Ted_Harvey_Conservation_Area,TH6,"Cs137, Pb210"
111,Boyd_and_Sommerfield_2016,Prime_Hook_National_Wildlife_Refuge,PM1,"Cs137, Pb210"
112,Boyd_and_Sommerfield_2016,Prime_Hook_National_Wildlife_Refuge,PM10,"Cs137, Pb210"
113,Boyd_and_Sommerfield_2016,Prime_Hook_National_Wildlife_Refuge,PM11,"Cs137, Pb210"
114,Boyd_and_Sommerfield_2016,Prime_Hook_National_Wildlife_Refuge,PM12,"Cs137, Pb210"
115,Boyd_and_Sommerfield_2016,Prime_Hook_National_Wildlife_Refuge,PM2,"Cs137, Pb210"
116,Boyd_and_Sommerfield_2016,Prime_Hook_National_Wildlife_Refuge,PM3,"Cs137, Pb210"
117,Boyd_and_Sommerfield_2016,Prime_Hook_National_Wildlife_Refuge,PM4,"Cs137, Pb210"
118,Boyd_and_Sommerfield_2016,Prime_Hook_National_Wildlife_Refuge,PM5,"Cs137, Pb210"
119,Boyd_and_Sommerfield_2016,Prime_Hook_National_Wildlife_Refuge,PM6,"Cs137, Pb210"
120,Boyd_and_Sommerfield_2016,Prime_Hook_National_Wildlife_Refuge,PM7,"Cs137, Pb210"
121,Boyd_and_Sommerfield_2016,Prime_Hook_National_Wildlife_Refuge,PM8,"Cs137, Pb210"
122,Boyd_and_Sommerfield_2016,Prime_Hook_National_Wildlife_Refuge,PM9,"Cs137, Pb210"
123,Boyd_et_al_2017,Channel_Creek,CC1,"Cs137, Pb210"
124,Boyd_et_al_2017,Channel_Creek,CC2,"Cs137, Pb210"
125,Boyd_et_al_2017,Channel_Creek,CC3,"Cs137, Pb210"
126,Boyd_et_al_2017,Dennis_Creek,DN1,"Cs137, Pb210"
127,Boyd_et_al_2017,Dennis_Creek,DN2,"Cs137, Pb210"
128,Boyd_et_al_2017,Dennis_Creek,DN3,"Cs137, Pb210"
129,Boyd_et_al_2017,Dividing_Creek,DV1,"Cs137, Pb210"
130,Boyd_et_al_2017,Dividing_Creek,DV2,"Cs137, Pb210"
131,Boyd_et_al_2017,Dividing_Creek,DV3,"Cs137, Pb210"
132,Boyd_et_al_2017,Island_Beach_State_Park,IB1,"Cs137, Pb210"
133,Boyd_et_al_2017,Island_Beach_State_Park,IB2,"Cs137, Pb210"
134,Boyd_et_al_2017,Island_Beach_State_Park,IB3,"Cs137, Pb210"
135,Boyd_et_al_2017,Maurice_River,MR1,"Cs137, Pb210"
136,Boyd_et_al_2017,Maurice_River,MR2,"Cs137, Pb210"
137,Boyd_et_al_2017,Maurice_River,MR3,"Cs137, Pb210"
138,Boyd_et_al_2017,Reedy_Creek,RC1,"Cs137, Pb210"
139,Boyd_et_al_2017,Reedy_Creek,RC2,"Cs137, Pb210"
140,Boyd_et_al_2017,Reedy_Creek,RC3,"Cs137, Pb210"
141,Breithaupt_et_al_2014,WSC-5,SH3-1,Pb210
142,Breithaupt_et_al_2014,WSC-5,SH3-3,"Cs137, Pb210"
143,Breithaupt_et_al_2014,WSC-5,SH3-5,"Cs137, Pb210"
144,Breithaupt_et_al_2014,WSC-5,SH3-7,"Cs137, Pb210"
145,Breithaupt_et_al_2014,WSC-5,SH3-8,"Cs137, Pb210"
146,Breithaupt_et_al_2014,WSC-5,SH3-9,"Cs137, Pb210"
147,Breithaupt_et_al_2020,NMg,BWB1A,"Cs137, Pb210"
148,Breithaupt_et_al_2020,NMg,CCB2,"Cs137, Pb210"
149,Breithaupt_et_al_2020,NMg,UFU1A,"Cs137, Pb210"
150,Breithaupt_et_al_2020,SMg,WSC2A,"Cs137, Pb210"
151,Breithaupt_et_al_2020,SMg,WSC8A,"Cs137, Pb210"
152,Breithaupt_et_al_2020,SMs,WSC2B,"Cs137, Pb210"
153,Breithaupt_et_al_2020,SMs,WSC8B,"Cs137, Pb210"
154,Buffington_et_al_2020,Miner_Slough,MS-C1,Cs137
155,Callaway_et_al_2019,Brown_Island,Browns_Island_A_High,"Cs137, Pb210"
156,Callaway_et_al_2019,Brown_Island,Browns_Island_A_Low,"Cs137, Pb210"
157,Callaway_et_al_2019,Brown_Island,Browns_Island_A_Mid,"Cs137, Pb210"
158,Callaway_et_al_2019,Brown_Island,Browns_Island_B_High,"Cs137, Pb210"
159,Callaway_et_al_2019,Brown_Island,Browns_Island_B_Low,"Cs137, Pb210"
160,Callaway_et_al_2019,Brown_Island,Browns_Island_B_Mid,"Cs137, Pb210"
161,Callaway_et_al_2019,China_Camp,China_Camp_A_High,"Cs137, Pb210"
162,Callaway_et_al_2019,China_Camp,China_Camp_A_Low,"Cs137, Pb210"
163,Callaway_et_al_2019,China_Camp,China_Camp_A_Mid,"Cs137, Pb210"
164,Callaway_et_al_2019,China_Camp,China_Camp_B_High,"Cs137, Pb210"
165,Callaway_et_al_2019,China_Camp,China_Camp_B_Low,"Cs137, Pb210"
166,Callaway_et_al_2019,China_Camp,China_Camp_B_Mid,"Cs137, Pb210"
167,Callaway_et_al_2019,Coon_Island,Coon_Island_A_High,"Cs137, Pb210"
168,Callaway_et_al_2019,Coon_Island,Coon_Island_A_Low,"Cs137, Pb210"
169,Callaway_et_al_2019,Coon_Island,Coon_Island_A_Mid,"Cs137, Pb210"
170,Callaway_et_al_2019,Coon_Island,Coon_Island_B_High,"Cs137, Pb210"
171,Callaway_et_al_2019,Coon_Island,Coon_Island_B_Mid,"Cs137, Pb210"
172,Callaway_et_al_2019,Coon_Island,Coon_Island_C_High,"Cs137, Pb210"
173,Callaway_et_al_2019,Coon_Island,Coon_Island_C_Low,"Cs137, Pb210"
174,Callaway_et_al_2019,Coon_Island,Coon_Island_C_Mid,Cs137
175,Callaway_et_al_2019,Coon_Island,Coon_Island_D_High,"Cs137, Pb210"
176,Callaway_et_al_2019,Coon_Island,Coon_Island_D_Low,"Cs137, Pb210"
177,Callaway_et_al_2019,Coon_Island,Coon_Island_D_Mid,"Cs137, Pb210"
178,Callaway_et_al_2019,Petaluma_River,Petaluma_River_Marsh_A_High,"Cs137, Pb210"
179,Callaway_et_al_2019,Petaluma_River,Petaluma_River_Marsh_A_Low,"Cs137, Pb210"
180,Callaway_et_al_2019,Petaluma_River,Petaluma_River_Marsh_A_Mid,"Cs137, Pb210"
181,Callaway_et_al_2019,Petaluma_River,Petaluma_River_Marsh_B_High,"Cs137, Pb210"
182,Callaway_et_al_2019,Petaluma_River,Petaluma_River_Marsh_B_Low,"Cs137, Pb210"
183,Callaway_et_al_2019,Petaluma_River,Petaluma_River_Marsh_B_Mid,"Cs137, Pb210"
184,Callaway_et_al_2019,Rush_Ranch,Rush_Ranch_A_High,"Cs137, Pb210"
185,Callaway_et_al_2019,Rush_Ranch,Rush_Ranch_A_Low,"Cs137, Pb210"
186,Callaway_et_al_2019,Rush_Ranch,Rush_Ranch_A_Mid,"Cs137, Pb210"
187,Callaway_et_al_2019,Rush_Ranch,Rush_Ranch_B_High,"Cs137, Pb210"
188,Callaway_et_al_2019,Rush_Ranch,Rush_Ranch_B_Low,"Cs137, Pb210"
189,Callaway_et_al_2019,Rush_Ranch,Rush_Ranch_B_Mid,"Cs137, Pb210"
190,Callaway_et_al_2019,Whale's_Tail,Whales_Tail_A_High,"Cs137, Pb210"
191,Callaway_et_al_2019,Whale's_Tail,Whales_Tail_A_Low,"Cs137, Pb210"
192,Callaway_et_al_2019,Whale's_Tail,Whales_Tail_A_Mid,"Cs137, Pb210"
193,Callaway_et_al_2019,Whale's_Tail,Whales_Tail_B_High,"Cs137, Pb210"
194,Callaway_et_al_2019,Whale's_Tail,Whales_Tail_B_Low,"Cs137, Pb210"
195,Callaway_et_al_2019,Whale's_Tail,Whales_Tail_B_Mid,"Cs137, Pb210"
196,Carlin_et_al_2021,ELM1812,ELM1812-PWA1,"Cs137, Pb210"
197,Carlin_et_al_2021,ELM1812,ELM1812-SPA2,"Cs137, Pb210"
198,Costa_et_al_2023,Baja-Bahia Magdalena,Baja-Bahia Magdalena-III,C14
199,Costa_et_al_2023,Baja-El Merito I (EMI),Baja-El Merito I (EMI)-I,C14
200,Costa_et_al_2023,Baja-Las Animas,Baja-Las Animas-I,C14
201,Costa_et_al_2023,Baja-Punta Abreojos,Baja-Punta Abreojos-I,C14
202,Costa_et_al_2023,Baja-San Gabriel II (SGII),Baja-San Gabriel II (SGII)-I,C14
203,Costa_et_al_2023,Baja-San Jose (SJ),Baja-San Jose (SJ)-I,C14
204,Costa_et_al_2023,Baja-San Jose (SJ),Baja-San Jose (SJ)-II,C14
205,Costa_et_al_2023,Baja-San Lucas,Baja-San Lucas-3,C14
206,Costa_et_al_2023,Baja-Santa Barbara II,Baja-Santa Barbara II-1,C14
207,Costa_et_al_2023,PanamaPacific-LP I,PanamaPacific-LP I-2,C14
208,Costa_et_al_2023,PanamaPacific-VE II,PanamaPacific-VE II-1,C14
209,Craft_2007,Altamaha_River,Altamaha_River_Site_7_Levee,Cs137
210,Craft_2007,Altamaha_River,Altamaha_River_Site_7_Plain,Cs137
211,Craft_2007,Altamaha_River,Altamaha_River_Site_8_Levee,Cs137
212,Craft_2007,Altamaha_River,Altamaha_River_Site_8_Plain,Cs137
213,Craft_2007,Altamaha_River,Altamaha_River_Site_9_Levee,Cs137
214,Craft_2007,Altamaha_River,Altamaha_River_Site_9_Plain,Cs137
215,Craft_2007,Doboy_Sound,Doboy_Sound_Site_4_Levee,Cs137
216,Craft_2007,Doboy_Sound,Doboy_Sound_Site_4_Plain,Cs137
217,Craft_2007,Doboy_Sound,Doboy_Sound_Site_5_Levee,Cs137
218,Craft_2007,Doboy_Sound,Doboy_Sound_Site_5_Plain,Cs137
219,Craft_2007,Doboy_Sound,Doboy_Sound_Site_6_Levee,Cs137
220,Craft_2007,Doboy_Sound,Doboy_Sound_Site_6_Plain,Cs137
221,Craft_2007,Sapelo_River,Sapelo_River_Site_1_Levee,Cs137
222,Craft_2007,Sapelo_River,Sapelo_River_Site_1_Plain,Cs137
223,Craft_2007,Sapelo_River,Sapelo_River_Site_2_Levee,Cs137
224,Craft_2007,Sapelo_River,Sapelo_River_Site_2_Plain,Cs137
225,Craft_2007,Sapelo_River,Sapelo_River_Site_3_Levee,Cs137
226,Craft_2007,Sapelo_River,Sapelo_River_Site_3_Plain,Cs137
227,Drexler_et_al_2009,Bacon Channel Island,BACHI,C14
228,Drexler_et_al_2009,Franks Wetland,FW,C14
229,Drexler_et_al_2009,Time of Mandeval Tip,TT,C14
230,Drexler_et_al_2013,Bird_Field,Bird_Field_1,"Cs137, Pb210"
231,Drexler_et_al_2013,Bird_Field,Bird_Field_2,"Cs137, Pb210"
232,Drexler_et_al_2013,Coastal_EDU_Field,Coastal_EDU_Field_1,"Cs137, Pb210"
233,Drexler_et_al_2013,Coastal_EDU_Field,Coastal_EDU_Field_2,"Cs137, Pb210"
234,Drexler_et_al_2013,Hasty_Point_Managed_Shallow,Hasty_Point_Managed_Shallow_1,"Cs137, Pb210"
235,Drexler_et_al_2013,Hasty_Point_Managed_Shallow,Hasty_Point_Managed_Shallow_2,"Cs137, Pb210"
236,Drexler_et_al_2013,Sandy_Island_Deeply_Flooded,Sandy_Island_Deeply_Flooded_1,"Cs137, Pb210"
237,Drexler_et_al_2013,Sandy_Island_Deeply_Flooded,Sandy_Island_Deeply_Flooded_2,"Cs137, Pb210"
238,Drexler_et_al_2013,Sandy_Island_Natural,Sandy_Island_Natural_2,"Cs137, Pb210"
239,Drexler_et_al_2013,Sandy_Island_Natural,Sandy_Island_Natural_3,"Cs137, Pb210"
240,Drexler_et_al_2013,Wardlaw_Shallow_Managed,Wardlaw_Shallow_Managed_1,"Cs137, Pb210"
241,Drexler_et_al_2013,Wardlaw_Shallow_Managed,Wardlaw_Shallow_Managed_2,"Cs137, Pb210"
242,Drexler_et_al_2019,Animal_Slough,AS14,Pb210
243,Drexler_et_al_2019,Animal_Slough,AS15,Pb210
244,Drexler_et_al_2019,Animal_Slough,AS16,Pb210
245,Drexler_et_al_2019,Animal_Slough,AS7,Pb210
246,Drexler_et_al_2019,Animal_Slough,AS8,Pb210
247,Drexler_et_al_2019,Animal_Slough,AS9,Pb210
248,Eagle_et_al_2021,Martin Peña East,MPE1,"Cs137, Pb210"
249,Eagle_et_al_2021,Martin Peña East,MPE2,"Cs137, Pb210"
250,Eagle_et_al_2021,Martin Peña West,MPW1,"Cs137, Pb210"
251,Eagle_et_al_2021,Piñones,PIN1,"Cs137, Pb210"
252,Eagle_et_al_2021,Piñones,PIN2,"Cs137, Pb210"
253,Eagle_et_al_2021,San José Lagoon,SJ1,"Cs137, Pb210"
254,Eagle_et_al_2021,San José Lagoon,SJ2,"Cs137, Pb210"
255,Eagle_et_al_2021,Torrecilla Lagoon,TORR1,"Cs137, Pb210"
256,Eagle_et_al_2021,Torrecilla Lagoon,TORR2,"Cs137, Pb210"
257,Elsey_Quirk_et_al_2011,Little_Assawoman,Juncus_roemerianus_core,Cs137
258,Elsey_Quirk_et_al_2011,Little_Assawoman,Spartina_alterniflora_core,Cs137
259,Ensign_et_al_2020,Choptank River,ChoptankLowerTidal,Cs137
260,Ensign_et_al_2020,Choptank River,ChoptankMiddleTidal,Cs137
261,Ensign_et_al_2020,Choptank River,ChoptankNontidal,Cs137
262,Ensign_et_al_2020,Choptank River,ChoptankUpperTidal,Cs137
263,Ensign_et_al_2020,Pocomoke River,PocomokeLowerTidal,Cs137
264,Ensign_et_al_2020,Pocomoke River,PocomokeMiddleTidal,Cs137
265,Ensign_et_al_2020,Pocomoke River,PocomokeNontidal,Cs137
266,Ensign_et_al_2020,Pocomoke River,PocomokeUpperTidal,Cs137
267,Gerlach_et_al_2017,Mill_Bayou,LMR_14_9B,"C14, Historical Horizons"
268,Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_1,"Cs137, Pb210"
269,Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_2,"Cs137, Pb210"
270,Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_3,"Cs137, Pb210"
271,Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_4,"Cs137, Pb210"
272,Gonneea_et_al_2018,Eel_Pond,EPA,"Cs137, Pb210"
273,Gonneea_et_al_2018,Eel_Pond,EPB,"Cs137, Pb210"
274,Gonneea_et_al_2018,Great_Pond,GPA,"Cs137, Pb210"
275,Gonneea_et_al_2018,Great_Pond,GPB,"Cs137, Pb210"
276,Gonneea_et_al_2018,Great_Pond,GPC,"Cs137, Pb210"
277,Gonneea_et_al_2018,Hamblin_Pond,HBA,"Cs137, Pb210"
278,Gonneea_et_al_2018,Hamblin_Pond,HBB,"Cs137, Pb210"
279,Gonneea_et_al_2018,Hamblin_Pond,HBC,"Cs137, Pb210"
280,Gonneea_et_al_2018,Sage_Log_Pond,SLPA,"Cs137, Pb210"
281,Gonneea_et_al_2018,Sage_Log_Pond,SLPB,"Cs137, Pb210"
282,Gonneea_et_al_2018,Sage_Log_Pond,SLPC,"Cs137, Pb210"
283,Johnson_et_al_2007,Sprague_Marsh,SM02_VC1,C14
284,Kemp_et_al_2020,Barnegat_Bay,BB1B,"Cs137, Historical Horizons, Pb210"
285,Krauss_et_al_2018,Savannah,savannah_high_1,C14
286,Krauss_et_al_2018,Savannah,savannah_low_1,C14
287,Krauss_et_al_2018,Savannah,savannah_mid_1,C14
288,Krauss_et_al_2018,Savannah,savannah_mid_2,C14
289,Krauss_et_al_2018,Waccamaw,richmond_island_1,C14
290,Krauss_et_al_2018,Waccamaw,turkey_creek_1,C14
291,Kusumaningtyas_et_al_2018,Berau,B2,Pb210
292,Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C24,Pb210
293,Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_East,E40,"Cs137, Pb210"
294,Lafratta_et_al_2018,False bay,1B,C14
295,Lafratta_et_al_2018,False bay,1Rc,C14
296,Lafratta_et_al_2018,False bay,1Rs,"C14, Pb210"
297,Lafratta_et_al_2018,False bay,2B,"C14, Pb210"
298,Lafratta_et_al_2018,False bay,2Rc,C14
299,Lafratta_et_al_2018,False bay,2Rs,C14
300,Lafratta_et_al_2018,False bay,3B,"C14, Pb210"
301,Lafratta_et_al_2018,False bay,3Rc,"C14, Pb210"
302,Lafratta_et_al_2018,False bay,3Rs,"C14, Pb210"
303,Lafratta_et_al_2018,False bay,4Rc,C14
304,Lafratta_et_al_2018,False bay,5Rc,C14
305,Lafratta_et_al_2018,False bay,6Rc,"C14, Pb210"
306,Lagomasino_et_al_2020,Huddy_Gut,HG1,"Cs137, Pb210"
307,Lagomasino_et_al_2020,Huddy_Gut,HG2,"Cs137, Pb210"
308,Lagomasino_et_al_2020,Huddy_Gut,HG3,"Cs137, Pb210"
309,Lagomasino_et_al_2020,Porpoise_Point,PP1,"Cs137, Pb210"
310,Lagomasino_et_al_2020,Porpoise_Point,PP2,"Cs137, Pb210"
311,Lagomasino_et_al_2020,Porpoise_Point,PP3,"Cs137, Pb210"
312,Luk_et_al_2020,SITE_1,MARSH_1_1,"Cs137, Pb210"
313,Luk_et_al_2020,SITE_1,MARSH_1_2,"Cs137, Pb210"
314,Luk_et_al_2020,SITE_1,POND_1,"Cs137, Pb210"
315,Luk_et_al_2020,SITE_2,MARSH_2_1,"Cs137, Pb210"
316,Luk_et_al_2020,SITE_2,MARSH_2_2,"Cs137, Pb210"
317,Luk_et_al_2020,SITE_2,POND_2,"Cs137, Pb210"
318,Luk_et_al_2020,SITE_3,MARSH_3_1,"Cs137, Pb210"
319,Luk_et_al_2020,SITE_3,MARSH_3_2,"Cs137, Pb210"
320,Luk_et_al_2020,SITE_3,POND_3,"Cs137, Pb210"
321,Marot_et_al_2020,Grand Bay,14CCT01_GB36M,"Cs137, Pb210"
322,Marot_et_al_2020,Grand Bay,14CCT01_GB36R,C14
323,Marot_et_al_2020,Grand Bay,14CCT01_GB39M,"Cs137, Pb210"
324,Marot_et_al_2020,Grand Bay,14CCT01_GB53D,"Cs137, Pb210"
325,Marot_et_al_2020,Grand Bay,14CCT01_GB53M,"Cs137, Pb210"
326,Marot_et_al_2020,Grand Bay,14CCT01_GB53M_2,"Cs137, Pb210"
327,Marot_et_al_2020,Grand Bay,14CCT01_GB53R,C14
328,Marot_et_al_2020,Grand Bay,14CCT01_GB60M,"Cs137, Pb210"
329,Marot_et_al_2020,Grand Bay,14CCT01_GB60R,C14
330,Marot_et_al_2020,Grand Bay,14CCT01_GB64M,"Cs137, Pb210"
331,Marot_et_al_2020,Grand Bay,14CCT01_GB64R,C14
332,Marot_et_al_2020,Grand Bay,16CCT03_GB34M,"Cs137, Pb210"
333,Marot_et_al_2020,Grand Bay,16CCT03_GB34S,Pb210
334,McGlathery_et_al_2018,ManAndBoyChannel,T1_9,Pb210
335,McGlathery_et_al_2018,SouthBay,SB152_C2,Pb210
336,McTigue_et_al_2020,Traps_Bay,TB_1L,C14
337,McTigue_et_al_2020,Traps_Bay,TB_2L,Pb210
338,Messerschmidt_and_Kirwan_2020,GCREW,C3,"Cs137, Pb210"
339,Messerschmidt_and_Kirwan_2020,GCREW,C4,"Cs137, Pb210"
340,Noe_et_al_2016,Bulter_Island,W2,Pb210
341,Noe_et_al_2016,Richmond_Island,W1,Pb210
342,Noe_et_al_2016,Turkey_Creek,W3,Pb210
343,Noe_et_al_2016,Turkey_Creek,W4,Pb210
344,Nolte_2020,DSK,DSK_grazed_landward,"Cs137, Pb210"
345,Nolte_2020,DSK,DSK_grazed_seaward,"Cs137, Pb210"
346,Nolte_2020,DSK,DSK_ungrazed_landward,"Cs137, Pb210"
347,Nolte_2020,DSK,DSK_ungrazed_seaward,"Cs137, Pb210"
348,Nolte_2020,HH,HH_grazed_landward,"Cs137, Pb210"
349,Nolte_2020,HH,HH_grazed_seaward,"Cs137, Pb210"
350,Nolte_2020,HH,HH_ungrazed_landward,"Cs137, Pb210"
